Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi. [modified]
Allergy,Allergy is an immune system reaction to a substance in the environment. [modified]
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter. [modified]
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period. [modified]
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication. [modified]
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine. [modified]
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system. [modified]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar. [modified]
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria. [modified]"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways. [modified]
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition. [modified]"
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound. [modified]
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine. [modified]
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain. [modified]
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems. [modified]"
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals. [modified]
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash. [modified]
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms. [modified]
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms. [modified]
hepatitis A,hepatitis A is a viral liver disease. [modified]
Hepatitis B,Hepatitis B is a viral infection that attacks the liver. [modified]
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation. [modified]
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus. [modified]
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation. [modified]
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption. [modified]
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs. [modified]
Common Cold,Common Cold is a viral infection of the upper respiratory tract. [modified]
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs. [modified]
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum. [modified]
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle. [modified]
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs. [modified]"
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone. [modified]
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone. [modified]
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels. [modified]
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints. [modified]
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness. [modified]"
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements. [modified]
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells. [modified]
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system. [modified]
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches. [modified]"
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open. [modified]
